Factor,Value,Model,HiddenUnit,Layer,Accuracy,Precision,Recall,Time (s)
SeqLen,10,LSTM,128,2,0.9668024439918533,0.9664851277754504,0.9877265591551306,257.4
SeqLen,25,LSTM,128,2,0.9725865580448065,0.9747365236246281,0.9911803917546919,267.6
SeqLen,50,LSTM,128,2,0.9923014256619145,0.9940710995630093,0.9969913055838525,498.9
SeqLen,100,LSTM,128,2,0.9878615071283096,0.9899582480750352,0.9959186587498959,519.6
Layers,1,LSTM,128,1,0.9876985743380855,0.9890471489681756,0.9967312520725756,462.9
Layers,2,LSTM,128,2,0.9887576374745417,0.9886385020700038,0.9983609672668535,409.4
Layers,3,LSTM,128,3,0.989653767820774,0.9909445528002229,0.9972427329656978,335.0
HiddenUnit,64,LSTM,64,2,0.9866191446028513,0.9862706706612253,0.9982093400821316,347.8
HiddenUnit,128,LSTM,128,2,0.9864969450101833,0.9885381435550545,0.9958592622388378,388.3
HiddenUnit,256,LSTM,256,2,0.9896130346232179,0.9906085561244956,0.9973392250492956,410.8
ModelType,LSTM,LSTM,128,2,0.989979633401222,0.989166647252056,0.9993644815817347,513.2
ModelType,BILSTM,BILSTM,128,2,0.9886761710794297,0.9875321036656549,0.9994801266600501,131.0
ModelType,CNNLSTM,CNNLSTM,128,2,0.8021045485403937,0.8018691588785046,1.0,285.7
